user_id,tag_1,tag_2,tag_3,tag_4,tag_5,num_trajectories,num_stay_points,num_clusters
user_707,amenity-pub: 16,amenity-restaurant: 11,amenity-bank: 5,shop-hairdresser: 4,shop-supermarket: 3,77,540,10
user_708,shop-furniture: 2,shop-hairdresser: 2,amenity-school: 2,leisure-park: 1,amenity-cafe: 1,29,189,3
user_709,amenity-restaurant: 3,amenity-cafe: 2,leisure-playground: 2,amenity-bar: 2,amenity-brothel: 1,30,164,6
user_710,leisure-pitch: 3,shop-confectionery: 2,leisure-sports_centre: 2,leisure-swimming_pool: 1,amenity-school: 1,116,433,6
user_711,amenity-fast_food: 3,shop-supermarket: 2,shop-convenience: 2,amenity-college: 1,amenity-school: 1,83,170,5
user_712,amenity-pharmacy: 2,shop-convenience: 2,amenity-doctors: 1,amenity-bar: 1,shop-furniture: 1,132,789,12
user_713,amenity-restaurant: 6,amenity-school: 4,shop-hairdresser: 4,amenity-kindergarten: 3,amenity-doctors: 1,106,428,9
user_714,leisure-fitness_centre: 1,shop-car_repair: 1,amenity-place_of_worship: 1,amenity-fast_food: 1,,78,294,5
user_715,amenity-fast_food: 4,shop-convenience: 2,shop-hairdresser: 2,historic-memorial: 2,amenity-place_of_worship: 2,76,466,10
user_716,leisure-park: 2,amenity-university: 1,amenity-place_of_worship: 1,amenity-restaurant: 1,,34,145,4
user_717,shop-bakery: 4,amenity-restaurant: 3,shop-hairdresser: 2,amenity-marketplace: 1,craft-locksmith: 1,49,227,4
user_718,amenity-place_of_worship: 2,amenity-pub: 2,shop-supermarket: 2,amenity-cafe: 2,shop-hairdresser: 1,127,382,8
user_719,amenity-place_of_worship: 2,amenity-school: 2,shop-supermarket: 1,,,74,323,6
user_720,shop-hairdresser: 5,shop-bakery: 5,amenity-restaurant: 4,amenity-cafe: 3,shop-confectionery: 2,84,401,9
user_721,shop-supermarket: 2,tourism-artwork: 1,amenity-school: 1,leisure-sports_centre: 1,amenity-place_of_worship: 1,61,315,6
user_722,,,,,,23,61,1
user_723,amenity-marketplace: 2,shop-supermarket: 1,shop-hairdresser: 1,amenity-townhall: 1,amenity-bank: 1,50,347,7
user_724,historic-monument: 2,shop-supermarket: 1,amenity-cafe: 1,shop-confectionery: 1,leisure-garden: 1,62,223,3
user_725,amenity-fast_food: 5,amenity-restaurant: 3,shop-supermarket: 3,amenity-place_of_worship: 3,shop-hairdresser: 3,141,717,14
user_726,shop-hairdresser: 2,amenity-fast_food: 1,shop-convenience: 1,shop-hardware: 1,amenity-school: 1,80,465,7
user_727,leisure-park: 3,natural-wood: 3,leisure-garden: 1,amenity-hospital: 1,amenity-place_of_worship: 1,66,464,14
user_728,,,,,,34,173,3
user_729,amenity-fast_food: 10,amenity-restaurant: 6,amenity-school: 3,shop-beauty: 3,amenity-bank: 2,115,283,7
user_730,amenity-college: 2,amenity-place_of_worship: 2,amenity-school: 1,,,108,550,8
user_731,leisure-pitch: 2,leisure-stadium: 2,amenity-college: 2,tourism-artwork: 1,shop-hairdresser: 1,61,348,8
user_732,leisure-park: 3,amenity-hospital: 2,,,,23,186,6
user_733,amenity-fast_food: 13,amenity-restaurant: 7,amenity-pharmacy: 4,amenity-cafe: 4,shop-hairdresser: 4,147,851,14
user_734,amenity-pub: 5,amenity-restaurant: 5,amenity-place_of_worship: 3,amenity-cafe: 3,tourism-artwork: 3,141,524,13
user_735,leisure-pitch: 2,leisure-park: 2,amenity-courthouse: 2,leisure-sports_centre: 1,amenity-school: 1,101,397,5
user_736,shop-supermarket: 4,historic-memorial: 2,historic-archaeological_site: 1,amenity-university: 1,amenity-hospital: 1,54,316,11
user_737,leisure-park: 1,,,,,83,251,4
user_738,amenity-cafe: 2,amenity-bar: 2,leisure-sports_centre: 1,leisure-garden: 1,amenity-townhall: 1,77,556,10
user_739,,,,,,30,122,1
user_740,amenity-restaurant: 5,amenity-fast_food: 5,shop-department_store: 4,amenity-place_of_worship: 2,leisure-garden: 2,94,418,9
user_741,leisure-garden: 31,amenity-fast_food: 4,shop-supermarket: 3,shop-hairdresser: 2,natural-wood: 1,124,427,9
user_742,amenity-fast_food: 2,shop-convenience: 2,shop-supermarket: 2,amenity-park: 1,leisure-park: 1,116,398,6
user_743,amenity-restaurant: 4,amenity-pharmacy: 4,amenity-place_of_worship: 4,shop-hairdresser: 2,amenity-dentist: 1,96,486,8
user_744,shop-supermarket: 2,amenity-hospital: 2,leisure-fitness_centre: 1,amenity-bank: 1,amenity-fast_food: 1,73,387,10
user_745,leisure-garden: 17,shop-supermarket: 3,amenity-place_of_worship: 3,amenity-fast_food: 1,amenity-cafe: 1,138,1004,18
user_746,amenity-place_of_worship: 2,amenity-school: 2,amenity-pub: 2,leisure-garden: 1,shop-car_repair: 1,120,896,14
user_747,amenity-place_of_worship: 1,leisure-fitness_centre: 1,,,,58,252,4
user_748,,,,,,12,42,0
user_749,amenity-school: 4,amenity-fast_food: 3,leisure-pitch: 2,amenity-doctors: 1,shop-hairdresser: 1,60,378,10
user_750,amenity-restaurant: 7,amenity-pub: 4,leisure-park: 3,shop-hairdresser: 3,amenity-bar: 2,119,568,14
user_751,shop-hairdresser: 3,amenity-fast_food: 2,amenity-restaurant: 2,shop-supermarket: 1,shop-convenience: 1,25,140,3
user_752,office-university: 3,natural-wood: 1,amenity-restaurant: 1,amenity-university: 1,,70,305,5
user_753,amenity-restaurant: 9,amenity-bar: 4,amenity-cafe: 3,amenity-fast_food: 1,shop-bakery: 1,39,206,5
user_754,,,,,,26,74,1
user_755,leisure-park: 1,amenity-university: 1,historic-memorial: 1,,,62,309,2
user_756,amenity-fast_food: 4,amenity-pharmacy: 4,shop-convenience: 3,shop-car_repair: 2,amenity-dentist: 2,140,501,13
user_757,leisure-garden: 7,amenity-school: 3,leisure-park: 2,leisure-playground: 1,amenity-park: 1,106,510,10
user_758,shop-supermarket: 2,shop-hairdresser: 2,shop-confectionery: 1,amenity-pharmacy: 1,shop-convenience: 1,66,312,4
user_759,leisure-garden: 1,leisure-pitch: 1,historic-memorial: 1,,,28,153,4
user_760,,,,,,97,309,2
user_761,amenity-cafe: 2,tourism-artwork: 1,historic-memorial: 1,amenity-fast_food: 1,,68,317,2
user_762,leisure-garden: 99,amenity-school: 3,natural-wood: 2,,,63,262,9
user_763,leisure-park: 3,amenity-cafe: 2,amenity-hospital: 1,historic-memorial: 1,amenity-school: 1,112,476,4
user_764,shop-hairdresser: 2,shop-department_store: 1,shop-supermarket: 1,leisure-park: 1,amenity-theatre: 1,104,256,3
user_765,,,,,,101,218,1
user_766,,,,,,14,83,1
user_767,leisure-park: 2,amenity-fast_food: 2,shop-hairdresser: 2,shop-supermarket: 1,natural-wood: 1,121,576,6
user_768,amenity-fast_food: 3,amenity-place_of_worship: 2,shop-supermarket: 2,shop-convenience: 1,shop-car_repair: 1,134,415,8
user_769,,,,,,16,84,1
user_770,shop-supermarket: 2,amenity-school: 1,shop-convenience: 1,,,78,515,7
user_771,shop-convenience: 3,amenity-cafe: 2,leisure-playground: 1,amenity-college: 1,leisure-adult_gaming_centre: 1,33,167,3
user_772,leisure-pitch: 2,shop-car_repair: 1,shop-beauty: 1,leisure-sports_centre: 1,,105,342,4
user_773,amenity-restaurant: 3,amenity-cafe: 2,shop-hairdresser: 2,shop-convenience: 1,tourism-attraction: 1,68,387,5
user_774,tourism-artwork: 9,amenity-bar: 2,amenity-pub: 1,amenity-restaurant: 1,amenity-place_of_worship: 1,60,198,3
user_775,leisure-park: 2,amenity-hospital: 1,shop-supermarket: 1,,,54,176,3
user_776,amenity-school: 1,,,,,52,459,6
user_777,amenity-cafe: 4,shop-supermarket: 4,amenity-bank: 3,amenity-place_of_worship: 1,leisure-garden: 1,114,534,12
user_778,amenity-marketplace: 7,shop-convenience: 4,leisure-garden: 3,shop-bakery: 3,amenity-bar: 3,66,433,13
user_779,leisure-park: 3,amenity-fast_food: 3,leisure-playground: 2,leisure-pitch: 1,amenity-school: 1,123,611,10
user_780,shop-furniture: 2,amenity-cafe: 2,leisure-park: 1,shop-bakery: 1,shop-hairdresser: 1,52,212,3
user_781,shop-bakery: 2,shop-furniture: 2,shop-hairdresser: 2,shop-car_repair: 1,shop-beauty: 1,108,899,3
user_782,amenity-courthouse: 1,shop-supermarket: 1,shop-confectionery: 1,leisure-stadium: 1,leisure-park: 1,49,234,5
user_783,shop-furniture: 3,amenity-school: 2,shop-beauty: 1,,,49,245,5
user_784,tourism-museum: 4,shop-convenience: 2,amenity-restaurant: 2,leisure-garden: 2,shop-beauty: 1,36,192,8
user_785,amenity-school: 2,leisure-garden: 2,amenity-place_of_worship: 1,amenity-townhall: 1,shop-bakery: 1,57,274,6
user_786,shop-hardware: 1,shop-furniture: 1,amenity-restaurant: 1,leisure-swimming_pool: 1,,78,340,5
