id,userID,type,startDate,endDate,distanceTravelled,created_at,numberOfBriskChunks,steps,userChanged
5c69f871aa51c1ca96d1a8ed,5c254cf064b33bac22c66fa3,3,2019-02-17 15:14:03,2019-02-17 15:19:09,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8ef,5c254cf064b33bac22c66fa3,3,2019-02-17 15:29:25,2019-02-17 15:47:30,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8f1,5c254cf064b33bac22c66fa3,3,2019-02-17 15:47:55,2019-02-17 15:57:11,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8f3,5c254cf064b33bac22c66fa3,3,2019-02-17 15:57:48,2019-02-17 16:00:59,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8f5,5c254cf064b33bac22c66fa3,3,2019-02-17 16:11:31,2019-02-17 16:46:07,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8f7,5c254cf064b33bac22c66fa3,3,2019-02-17 16:48:55,2019-02-17 18:39:37,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8f9,5c254cf064b33bac22c66fa3,3,2019-02-17 19:02:14,2019-02-17 20:33:03,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8fb,5c254cf064b33bac22c66fa3,3,2019-02-17 20:58:33,2019-02-17 21:33:50,0,2019-02-18 00:12:34,0,0,
5c69f871aa51c1ca96d1a8fd,5c254cf064b33bac22c66fa3,3,2019-02-17 21:34:51,2019-02-17 23:00:59,0,2019-02-18 00:12:34,0,0,
5c6b5081aa51c1ca96f94189,5c254cf064b33bac22c66fa3,3,2019-02-18 04:23:58,2019-02-18 10:01:57,0,2019-02-19 00:40:33,0,0,
5c6b5081aa51c1ca96f9418b,5c254cf064b33bac22c66fa3,3,2019-02-18 10:03:50,2019-02-18 12:58:48,0,2019-02-19 00:40:33,0,0,
